title2
“태극기 배경으로 AI 프로필 사진 찍으세요”
"수원 장안구 정자1동, ㈜을지케어로부터 이웃돕기 성금 지원받아"
"하이박, 대구에 미래차 부품 제조공장 건립"
"광주도시철도, 어린이 특별 견학 실시 ‘호응’"
"전남사회서비스원, 보건복지부 경영평가 ‘A등급’"
이정선 시교육감 ‘전국기능경기대회’ 참가선수 격려
"[기고] 농어촌 현실 반영 지역사랑상품권, 사용처 확대 필요"
"여야, 28일 본회의 개최 합의...비쟁점 민생 법안 처리키로"
"에코프로, 이동채 전 회장 사면에 ""미래성장동력 마련에 혼연일체"""
"면허 없어도 대여 OK? 난무하는 어린이 PM 탑승, 사고 부추긴다"
"[fn마감시황] 코스피, 외국인 매수에 2620선 턱걸이 마감"
정초시 충북도 정책수석보좌관 퇴임
"청주테크노폴리스 아테라, 분양 2주 만에 조기 완판"
"박재용 경기도의원 ""옥정~포천 광역철도 공사' 주민안전 최우선돼야"""
"한세실업, 2Q 매출 4480억  전년比 4.1%↑"
상반기 우수 국고채 전문 딜러에 NH투자증권 등 5개사
"빌라 임대차 시세 신속 확인해 '전세사기' 차단...공인중개사협회, 부동산지수시스템 본격 운영"
"경제단체 ""광복절 특사로 중소기업 소상공인 경영 복귀 환영"""
[내일날씨]폭염 속 천둥 번개 동반한 비
"유진투자증권, 모트에이아이와 증권업 AI 전환 위한 업무협약"
"쏘카, 2분기 영업손실 67억원 “3분기부터 수익 실현 기대”"
"“남자야? 여자야?” 성전환 선수, 파리 패럴림픽 참가 논란"
"서울시, 서울한옥 공예상품 10종 개발 “서울한옥 브랜드화”"
"케이티알파, 2분기 영업익 87억 전년비 26.6% ↑"
"케이티알파, 2분기 영업이익 87.35억 전년比 26.6%↑"
"지에프씨생명과학, 코스닥 이전상장 기술성평가 ‘A’ 획득"
‘골칫덩이’ 가마우지 인제군 본격 포획 나선다
7월 광주 전라권 아파트 입주율 ‘반등’
쓰레기 법의 역사
포스트 코로나 시대의 잠재적 대유행으로 떠오르는 백일해
"정부, 전기차 배터리 제작사 정보 공개 권고 “국민 불안감 해소 차원”"
"JYP엔터 ‘어닝쇼크’ 줄어든 엔터사 수익, 오너 스타 리스크 더해지며 주가 지지부진"
검찰 '尹 명예훼손' 언론인 2명 이재명 대선캠프 대변인 기소
"스타벅스, 제주 전용 음료 ‘자몽 망고 코코 프라푸치노’ 인기 “판매기간 연장 검토”"
"쏘카, 2분기 적자 전환 3분기부터 수익 본격화"
"디즈니 실사 영화 '백설공주' 예고편 공개에 누리꾼 ""실망스럽다"""
서울양양고속도로 서면7터널서 추돌사고 6명 경상
‘말복’ 전국 무더위 지속 당분간 전국 대부분 체감온도 35도
홍천 수제 맥주 장인이 만든 ‘8 15 광복주’ 무엇?
"소노호텔앤리조트, 프리미엄 멤버십 ‘노블리안 블랙’ 출시"
"[NNA] 베트남 총리, 경제 활성화 주력 강조"
"청년고용 상승률 1위 도봉, 일자리대상 우수상 수상"
"LS머트리얼즈, 고용노동부 ‘노사문화 우수기업’ 선정"
"에코프로 ""이동채 회장 사면 계기 성장동력 확보 최선"""
"""비상구가 어디에 있는지도 몰랐다""...아리셀 공장 65건 위반"
"아파트 매매 거래 내역, 계약 당일에 확인한다"
"ACE ETF ‘동일가중’으로 명칭 변경, 이유는?"
"AI發 디스플레이 혁신 ""저전력 저발열이 핵심"""
만취 상태로 역주행 뺑소니 2분 만에 덜미
"벤츠, 전기차 배터리 제조사 공개 5개 모델에 파라시스 배터리"
차와 기둥 사이에 낀 사람 발견 후진 주차하던 운전자 '의식불명'
남편 '전투토끼'에 밀양 사건 가해자 신상 넘긴 충북 공무원 아내 구속
"시스코, 정부 주도 '서울 AI 기업 서약' 동참"
"거제시, 든든한 시장실 ‘지역경제 살리기’ 출격"
"내부통제 '흔들' 우리은행, 불시 검사 원스트라이크 아웃 제도 확대"
"[종합] 밤잠 설치는 '영끌족' 시중은행, 주담대 금리 또 인상"
인사>국민의힘 전남도당
"안세영, 이번 달 국제대회 모두 불참 ""무릎 발목 부상"""
"이천시, 대한민국 드론 산업 중심으로 도약"
"최문순 화천군수 “댐으로 연간 480억원 피해, 또 수도권에 물 공급 반대”"
공공근로 북한이탈주민 예산이 주식 코인 투자로 7년간 6억 횡령한 청주시 공무원 구속 기소
국군의 날 시가행진 2년 연속 실시 “행사규모 과도한 확대 주의”
"카카오게임즈, 오션드라이브 스튜디오 신작 2종 퍼블리싱 계약 체결"
약발 떨어진 액면분할 올해 주가부양 사례 '0'
안전자산 맞나 주가와 함께 출렁이는 금값
미국서 꿈나무 대회 최경주 “지루할 틈 없어 매일 감사하고 신나”
"민주당 국토위원들, 전세사기 피해자와 간담회"
대구TP 신임 원장에 김한식 부산중기청장
"충남대병원, 병동 원무 매니저 서비스 도입"
'김경수 광복절 복권' 놓고 여야 정치권 '술렁'
"우크라 “러 본토 1000㎢ 장악” 다급한 푸틴, 일주일새 회의만 3번째"
"강원교육청, 학부모회 역량 강화 연수 개최"
"덕성여대, 대학혁신지원사업 성과평가서 교육혁신 부문 ‘최우수’ S등급"
"쏘카, 2분기 매출액 18.6% ↑ 영업손실 67억원 '적자전환'"
"칠곡군 벌초 시기, 예초기 안전사고 예방 ‘특별 무상 점검’실시"
"경산발명교육센터 특별과정(3D, 웹툰, AI) 시행"
"성주군, 귀농인 역량강화 교육 실시"
"벤츠, 내일부터 전기차 무상점검...현대차 기아도 점검 진행"
"[Duty-Free & Now] 현대면세점, 'AEO' AA등급 인증 획득 등"
"HMM, 2Q 영업익 6444억...전년비 302% 증가"
"정부, 전기차 특별 무상점검 배터리 정보 자발적 공개 권고(종합)"
"한수원, 경주시 청년 창업에 올해 2.5억 지원"
대구간송미술관 개관 기념 특별전 온라인 예매 개시
"충북농협, 농활 참여자들에 먹거리 단체버스 지원"
"“학교 급식실 유증기 걱정 끝“ 팔공초중학교, 대구 첫 ‘튀김 로봇’ 도입"
"[속보]여야, 28일 본회의 소집 비쟁점 민생 법안 처리 합의"
아리셀 ‘우수’ 받은 위험성평가 개편 ‘셀프 점검’ 한계는 여전
"""AWS, 생성형 AI 신기술 빠른 속도로 출시 고객사 편의성 높여"""
송영길 “6년 전 이혼 두 아들 홀로 키워” 고백
<부고>강성덕(대양종합건설㈜ 대표이사 충북리더스클럽 고문)씨 부친상
"오산시, 31일까지 ‘한마디 말로 우리는’ 토크콘서트 신청 접수"
"NH투자증권, 생애주기 맞춰 자산관리하는 '하나로TDF'"
우송대 박미향 씨 청능사 자격시험 수석 합격
"상명대 미래교육센터, 2024학년도 2학기 평생교육 프로그램 교육생 모집"
"이천시, 덕평자연휴게소 대흥액화수소충전소에서 최초 수소충전소 운영"
"""독립기념관장 임명 철회하라"""
"강원자치도, 농식품 수출 321백만 달러 기록 ‘전년 동기대비 27.0%’ 증가!"
"미래에셋증권, AI가 고객 성향 맞춰 효율적 우량 자산 배분"
"HSAD, 국내 업계 최초 통합 마케팅 AI 플랫폼 상용화"
“간편식 즐기고 가성비 뷔페 가요” ‘욜로’서 ‘요노’로 갈아탄 MZ
"“우릴 기억해주다니” 박명수 신유빈 얼굴 맞댄 사진 화제, 무슨 인연 있길래"
"“중국에 역전당했다, 다시 뒤집자” ‘K신무기’로 1위 탈환 승부수"
"[보험 & NOW] 삼성생명, 산학연계 과정으로 금융전문가 육성 등"
[오늘의 주요공시] CJ제일제당 이마트 노블엠앤비 IHQ
"부영그룹, 임직원에 말복 삼계탕 5300여 세트 전달"
"아이마켓코리아, 美 첨단산업단지 종합개발계획 테일러 시의회 승인 완료"
"이어지는 폭염, 얼음정수기 없이는 못 살아~"
"회복한 김예지 ""이제 괜찮아요"" 임실군 ""물심양면 지원"""
천영평 기조실장 “20년만에 전북 돌아와...중앙정부와 가교역할 최선”
"전주시의회, 사도광산 세계유산 등재 협조한 정부 규탄"
"청주시 흥덕구, 어린이들과 환경 캠페인"
"삼성물산, 건설자재 환경성적표지 인증 지원 나선다"
"청주공항, 광복절 징검다리 연휴 이용객 증가 '기대'"
차 트렁크에 ‘생후 10일’ 아이 방치해 숨지게 한 친부모 '실형’
"2거래일 만에 1조 원 증발 네이버 웹툰, '양산형' 아닌 '진짜 작품' 필요하다"
"'흑자' 넷마블, 신작 '일곱 개의 대죄 키우기' 174개국서 출시"
"'복권' 김경수 ""다시 한 번 송구""...한동훈 ""더 이상 언급 않겠다"""
"“부동산 거래 실시간 반영”, 공인중개사협회 ‘부동산통합지수시스템’ 구축"
하남 감북 감이동 신도시 될까 감북 등 7.95㎢ 토지거래구역 지정
경북 지자체 보조금 6억6400만원 가로챈 인터넷언론사 전 대표
"[포토뉴스]함께하는 사랑밭 강원지역본부, 속초 취약계층에 삼계탕 김치 전달"
"정부, 국내 전기차 탑재 배터리 정보 자발적 공개 권고"
이종찬 광복회장 만난 강정애 국가보훈부 장관
여의도 광복회관 방문한 강정애 국가보훈부 장관
이종찬 광복회장과 면담하는 강정애 국가보훈부 장관
"강정애 국가보훈부 장관,이종찬 광복회장 면담"
"무신사, 스토어 전면 개편...사용자 편의성 높인다"
"삼척소방서, 하트세이버 인증서 수여...구급대원 4명"
"연제구 거제4동 햇빛쨍쨍보장협의체, 취약계층 위한 밑반찬 기탁"
"해운대구, 다음 달까지 반려동물 자진신고 접수"
"부영그룹, 임직원에 말복 삼계탕 선물"
잘 안들리고 어지럽다면? '미니에르병' 의심해야
이마트 상반기 흑자 전환 방문객 늘고 자회사 오르고
"""장기 고정금리 주담대 공급 활성화"" 주금공 지급보증 제도로 국민 신한銀 커버드본드 발행"
"한미글로벌, 올해 상반기 누적 영업익 165억 전년比 20.4% ↑"
"농협사료 포대당 500원 인하 ""축산농가 경영안정 지원"""
지자체 보조금 가로챈 전 인터넷 언론사 대표 집행유예
"[단독] 사교육 부추길라 교수, 이사겸직 사실상 금지"
"‘1억 벤츠’에 中 배터리 벤츠, 전기차 13종에 中 배터리 탑재"
"하이트진로 2분기 영업익 473% 증가 ""마케팅 비용 효율화"""
전세사기 보이스피싱 최대 무기징역 양형 기준 강화
"‘푹다행’ 방탄소년단 진, 전역 후 첫 공중파 출연..파란만장 무인도 적응기"
"사이버한국외대 일본어학부, 日히로시마대학서 하계 단기어학연수 진행"
[스페셜리포트]아태 곳곳은 데이터센터 유치에 사활
[스페셜리포트]세계와 반대로 가는 韓 시장...규제 일변도에 업계 위축
"아이콘 송윤형, 오늘(13일) 군 입대 김재중 삭발 영상 공개하며 ""기다릴게!"""
중소기업 환경성적표지 인증 지원
전기차 화재 2차 회의 “배터리 정보 자발적 공개하라”
국토부 16번 보고받고도 소홀 대응으로 전세사기 확산
"충북문인협회, 제29회 충북문학상 수상자 선정"
"[사람in] 도준우 안양시사회복지협의회장 ""민간 주도 맞춤형 복지로 사각지대 해소할 것"""
[포토] 전기 퍼포먼스 SUV 쿠페 ''폴스타 4'' 국내 공개 행사
"尹, '집중호우 피해' 경기 파주 충남 당진 특별재난지역 선포"
천안시 '노인의료 돌봄 통합 지원사업' 지자체 벤치마킹 이어져
"여가부, 양육비 채무 불이행자 139명 제재 최고 채무액 1억7895만원"
"[포토뉴스]속초시 교동지역사회보장협의체, 독거 어르신 가구에 영양식 전달"
"'공스킨' 캐시워크 돈 버는 퀴즈, 정답은?"
"[시황] 코스피, '외인 사자' 사흘 연속 상승 2621.50 마감"
"정부, 노란봉투법 등 재의요구안 의결"
"꿈씨 패밀리가 효자네, 기념품도 불티"
"권선택 전 대전시장, 광복절 특사로 복권"
[부고] 민병원 목원대 게임소프트웨어공학과 교수 모친상
여수 예울마루 하반기 예술 클래스 풍성해졌다
[과학기술이 미래다]〈135〉제6차 5개년계획 과학기술부문 수정 1993년까지 64M D램 개발
"DYETEC연구원 이사회, 현 조상형 이사장 연임 의결"
[포토] 제3회 서울 국제 마스터 셰프 요리대회
"농협사료, 포당 500원 사료가격 인하"
[사설]온플법 서두르는 게 능사가 아니다
"[모빌리티포럼] UAM, 일상으로 스며드나"
2024년 1차 윈윈 아너스 5건 선정 동반성장평가 우대
"[에듀플러스]제12회 미래와소프트웨어 꿈찾기 캠프 13~14일 열려, AI 원리 배우고 실습 교육까지 “AI로 직접 앱을 만들어 재밌어요”"
"이지케어텍, '공공 최대어' 중앙보훈병원 차세대 사업 품었다"
[SW와 디지털 전환] 더 크고 담대한 꿈 가능케 해주는 SaaS
음식물 종량제봉투 보관 용기 보급 추진
"포르쉐, 전기차 '新 타이칸' 22일 출시 주행거리 500㎞ 넘는다"
"이번에도 과잉규제?' CJ프레시웨이, 공정위 과징금 ""항소할 것"""
"이동채 전 에코프로 회장, 광복절 특별사면 2차전지 투자 등 포항경제계 기대↑"
"CJ푸드빌, F&B 특화 사회공헌으로 지역 사회에 온기 전한다"
[조 석 칼럼] 변화 속 ‘과녁’ 맞추기
"""김문수, 경사노위 회의 한 번 주재하고 1억 원 이상 수입"""
"HMM, 상반기 영업이익 1조원 돌파 전년比 125%↑"
"‘하도급법 위반 혐의’ GS리테일, 1심서 무죄"
"성주군, 탄소중립포인트제 시행  “에너지 절약해 지구 살리고 용돈 받자”"
"1000여개 중증수술 수가 인상하고, 도수치료 등 과잉진료는 제한"
샤갈ㆍ유영국ㆍ에르메스 버킨백....더위 만큼 뜨거운 명작-명품 경매
"시멘트가 예술 소재로 시멘트협회, 한양대서 기획특별전 후원ㆍ전시"
"[네트워크] 2024 광주 충장축제, '청년 시민이 만드는 대동 세상'"
울산 부산 앞바다에서 큰바다사자 잇따라 발견
"'광복절 특사' 김경수 조윤선 복권...""정치적 갈등 일단락"""
"군위군 부계면 다함께돌봄센터, 찾아가는 다문화이해교육"
"의성소방서, 소중한 생명을 구한 구급대원에게 ‘하트 세이버 인증서’ 수여"
